frame,id,tlx,tly,width,height,score,lifetime,cross,incrossing
0,0,0.079286575,70.27920999999999,53.310005,178.7208,0.9933482,411,1,0
1,0,0.09309387,67.56993,54.290165,177.2189,0.9972038,411,1,0
2,0,0.65026283,68.211,56.170586,174.64331,0.9983442,411,1,0
3,0,1.9881268,69.53889000000001,59.06376,174.63187,0.999311,411,1,0
4,0,3.986452,67.510796,61.86737,177.8075,0.99937755,411,1,0
5,0,7.008457000000001,67.19691999999999,63.86634399999999,175.03381000000005,0.9992705,411,1,0
6,0,9.140068,66.769684,68.48958,180.71478,0.99908364,411,1,0
7,0,12.112347,64.269966,72.10167,182.03552,0.99903464,411,1,0
8,0,16.360611,65.52042,70.8652,176.19931,0.99958616,411,1,0
9,0,22.336845,66.3861,68.5285,174.42401,0.9995946,411,1,0
10,0,23.90223,64.14174,71.492874,178.2106,0.99938977,411,1,0
11,0,24.846478,64.78775,73.93628000000002,179.44012,0.99918514,411,1,0
12,0,29.419796,66.58457,74.636826,178.10782,0.9994516,411,1,0
13,0,30.937443,67.58474,75.05615,176.83997,0.99963975,411,1,0
14,0,33.653717,67.2864,74.2545,180.4744,0.9996722,411,1,0
15,0,34.65228,69.1284,72.5838,173.94617,0.9996847,411,1,0
16,0,36.959812,68.14633,73.65706,175.3252,0.99975294,411,1,0
17,0,40.096607,70.07443,71.180954,171.39215,0.99952304,411,1,0
18,0,44.974834,64.96016999999999,70.53944399999997,180.79227,0.9989033000000002,411,1,0
19,0,45.35838,64.91272,71.42793,180.63815,0.9991498,411,1,0
20,0,51.946125,65.01061,63.779858,176.71667,0.99883217,411,1,0
21,0,50.418312,65.870964,67.84456,173.55112,0.9986712,411,1,0
22,0,55.54014599999999,64.871925,60.91928000000001,175.68362,0.9995883,411,1,0
23,0,57.85018,63.80413000000001,60.10286,171.08758999999995,0.99948907,411,1,0
24,0,60.37210500000001,64.951225,59.07609,172.71173000000005,0.9993617,411,1,0
25,0,63.223755,66.37425999999999,56.842453000000006,172.46182,0.99922204,411,1,0
26,0,64.73804,65.958244,58.297333,172.45135,0.9992466,411,1,0
27,0,65.98739,65.81506,58.138107,173.5744,0.9992663,411,1,0
