frame,id,tlx,tly,width,height,score,lifetime,cross,incrossing
0,0,158.48235,109.56249,120.48903,136.7135,0.9985078000000002,149,0,0
0,1,1.1071777,108.48791,79.712875,140.51208,0.99511355,149,0,0
0,2,615.23267,106.18072,10.990845,34.057303999999995,0.9538427,24,1,0
1,0,163.69897,115.07439,115.52542,131.02167,0.99512357,149,0,0
1,1,1.0551109,112.514,82.231125,136.31708,0.9958891,149,0,0
1,2,614.17786,105.37738,11.2717285,34.577805,0.8895468000000001,24,1,0
2,0,172.73335,113.05798,103.14366,131.93274,0.99477684,149,0,0
2,1,0.84244156,112.893906,89.93290999999998,134.60498,0.9968598,149,0,0
2,2,613.3193,105.447876,12.085693,34.123627,0.9643631,24,1,0
3,1,0.0,114.64659,98.780914,132.53906,0.99750876,149,0,0
3,0,179.92096999999995,113.21336,93.08751,135.34192,0.9925051,149,0,0
4,1,3.227272,117.85159,102.10167,130.43588,0.9965084,149,0,0
4,0,188.72311,109.63559,84.405,137.22256000000002,0.992159,149,0,0
5,1,6.7312660000000015,116.104126,103.17613,132.15976,0.9957675,149,0,0
5,0,195.53528,101.06349,77.336365,147.93651,0.9931884,149,0,0
6,1,13.266808,110.23847,100.78122,138.4661,0.99477106,149,0,0
6,0,200.9475,100.327446,74.11363,148.67255,0.9933333,149,0,0
7,1,18.045944,106.82042,101.72479,140.73834,0.9953349,149,0,0
7,0,208.14557,99.81455,78.635315,147.30524,0.99826175,149,0,0
8,1,24.834568,103.77256,103.39072,141.88474,0.9945228000000002,149,0,0
8,0,210.75975,98.43767,82.6111,149.55167,0.9969626,149,0,0
9,1,29.694271,100.26782,99.81084,148.73218,0.9950157,149,0,0
9,0,210.76157,100.90528,90.48761,141.72223,0.9967726999999998,149,0,0
10,1,33.19175,104.669495,105.92846000000002,140.5274,0.99525803,149,0,0
10,0,212.50447000000003,105.31337,79.627365,140.49069,0.990761,149,0,0
10,2,609.18884,105.41459,11.395386,33.2759,0.90026087,24,1,0
11,1,42.830048,102.75517,94.99393,145.68472,0.9969849,149,0,0
11,0,208.8137,109.06037,89.35283000000003,138.99237,0.9959645,149,0,0
12,1,46.455193,108.70033,99.885414,135.03403,0.996031,149,0,0
12,0,206.78398,109.47565,93.785446,136.45712,0.994716,149,0,0
12,2,609.1269,105.20533,10.580444,33.738808,0.8816992,24,1,0
13,0,206.92279,110.68926,99.178894,138.31073,0.99648535,149,0,0
13,1,53.257328,109.53203,90.48372,138.12177,0.99665123,149,0,0
14,0,208.14265,109.73989,103.405075,137.06024,0.9961516,149,0,0
14,1,55.831596,111.60247,91.09251,133.9479,0.9981211,149,0,0
14,2,606.5513,103.61238,13.243652,36.145767,0.952628,24,1,0
15,0,212.58746,101.23331,97.90173,145.51953,0.99740916,149,0,0
15,1,64.81984,111.64988,83.991104,134.63074,0.9990258,149,0,0
15,2,605.837,100.482346,13.126587,38.14244,0.91362035,24,1,0
16,0,215.57947,99.19996,98.36951,149.80005,0.99826497,149,0,0
16,1,67.9871,107.130745,84.70809,141.86926,0.9984957,149,0,0
16,2,605.22675,103.41048,12.894409,34.91928,0.92979896,24,1,0
17,0,218.3566,99.07131,96.99603,149.92868,0.9978998,149,0,0
17,1,73.18681,102.62652,81.07689,144.33963,0.9977234,149,0,0
17,2,604.43384,104.68083,12.816284,32.88501,0.95317173,24,1,0
18,0,221.56335,101.25772,98.589905,147.14532,0.9981735,149,0,0
18,1,77.8634,101.125786,81.69377,147.50628999999995,0.99705577,149,0,0
18,2,602.9337,105.18345,13.895874,33.183846,0.9544756,24,1,0
19,0,227.0612,101.22826,95.55629,145.56653,0.99770665,149,0,0
19,1,80.489655,99.46681,80.953415,148.83481,0.9978498,149,0,0
19,2,602.81055,106.40265,13.470093,31.740479,0.94363505,24,1,0
20,0,227.67787,105.83046000000002,95.24376,142.92266999999995,0.99671894,149,0,0
20,1,86.0331,98.130646,78.66402,148.55704,0.99791545,149,0,0
21,0,229.72906,110.47981,92.74408,134.95786,0.99771833,149,0,0
21,1,89.22247,103.71362,82.55194,143.28427,0.9977648,149,0,0
22,0,230.29538,109.88668,90.48407,138.11743,0.99793845,149,0,0
22,1,91.760666,106.925476,88.06551999999998,139.77938999999998,0.9969048,149,0,0
23,0,232.7674,110.48194,87.38159,138.38986,0.9979381,149,0,0
23,1,95.86635,109.08171000000002,86.8226,139.08963,0.9974859,149,0,0
24,1,101.11757,110.36847,86.35970999999998,136.65125,0.99797446,149,0,0
24,0,235.36008,107.50545,83.43097,141.43686,0.99820316,149,0,0
24,2,601.2196700000002,103.901306,11.078369,33.495163,0.8318686,24,1,0
25,1,104.18939,111.66944,88.80969,135.08176,0.99868554,149,0,0
25,0,243.99791,103.84179,74.26021,143.20748999999995,0.9989274,149,0,0
26,1,105.576996,105.44422,89.64792,143.55579,0.9986822,149,0,0
26,0,246.44873,102.28617,72.150696,146.5292,0.9985695,149,0,0
27,1,110.81958,101.092125,87.01312,147.82391,0.99904543,149,0,0
27,0,249.27628,101.2224,73.64026,147.74475,0.9982078,149,0,0
28,1,108.630295,97.658875,91.69302,151.34113,0.9992441,149,0,0
28,0,252.02293,100.406845,73.923325,148.52237,0.9987244,149,0,0
28,2,597.62964,104.504585,11.130859,33.879448,0.8027204000000001,24,1,1
29,1,119.46856,97.1039,85.69926,151.8961,0.99903643,149,0,0
29,0,254.40988,100.98991,76.36249000000002,146.14615,0.99873024,149,0,0
29,2,598.3381,104.564606,8.881714,25.753769,0.8261076999999999,24,1,1
30,1,122.4561,100.19094,86.57352,148.80905,0.99850285,149,0,0
30,0,257.516,102.40006,80.23132,146.59995,0.99807173,149,0,0
30,2,596.63214,105.33466,10.39209,29.092186,0.80255723,24,1,1
31,1,125.626076,97.76224,86.40673000000002,151.23776,0.99873453,149,0,0
31,0,255.5988,104.837456,78.30445999999998,143.17307,0.9990845,149,0,0
32,1,128.4608,97.324554,85.262726,151.67545,0.99843365,149,0,0
32,0,256.22937,105.244415,79.02136,143.22603999999995,0.9983582,149,0,0
33,1,129.44138,107.31641,86.408966,140.71362,0.9985482,149,0,0
33,0,256.9068,105.01386,78.368774,143.98615,0.9985482,149,0,0
34,0,260.30136,105.54779,79.777466,143.45221,0.99884206,149,0,0
34,1,134.92982,107.57361000000002,79.19116,141.34653,0.99847597,149,0,0
35,0,261.92688,103.76434,83.79053,144.84158,0.9992287,149,0,0
35,1,139.85912,106.55955,77.22519,141.86432,0.9991073,149,0,0
36,0,263.85608,101.07584,83.01727,147.92416,0.99865854,149,0,0
36,1,143.16505,104.515205,75.20233,142.7351,0.99944085,149,0,0
37,0,267.31412,97.53193,82.76507600000002,151.46808,0.99795246,149,0,0
37,1,148.25732,103.65665,71.5975,145.34335,0.9989519,149,0,0
38,0,266.60202000000004,99.93993,88.6897,148.95465,0.99900514,149,0,0
38,1,151.14786,101.23391,70.25216999999999,146.25933999999995,0.9995061,149,0,0
39,0,269.2436,100.31052,82.81024000000002,148.18146000000004,0.99923193,149,0,0
39,1,153.98856,98.94889,69.51718000000001,149.17899,0.9995733,149,0,0
40,0,270.4995,102.66921,83.3363,146.33078,0.999213,149,0,0
40,1,154.17212,97.179695,73.1655,151.23584,0.9992298,149,0,0
41,0,268.40268,104.045586,90.827515,143.75159,0.9992494,149,0,0
41,1,156.13028,107.81024,70.71692,141.18976,0.9988042,149,0,0
